epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3051,1.4531,1.93697,1.74441,0.87001,0.18571,0.27551,0.11494,1.84246,3.16695,3.18633,0.000328205,0.000328205,0.0675077
2,145.428,1.36492,1.39186,1.63783,0.49297,0.60669,0.54968,0.26636,1.55312,1.88714,2.08993,0.000654989,0.000654989,0.0345011
3,187.557,1.39364,1.40393,1.6557,0.44443,0.66378,0.57089,0.2949,1.45971,1.98325,2.06007,0.000975173,0.000975173,0.00148799
4,240.884,1.36042,1.3124,1.6774,0.46218,0.39405,0.32381,0.13029,1.92617,2.01491,2.30652,0.0009703,0.0009703,0.0009703
5,274.64,1.34951,1.26079,1.64159,0.79481,0.52288,0.66387,0.34421,1.4509,1.35606,1.95846,0.0009604,0.0009604,0.0009604
6,316.315,1.32272,1.2463,1.62009,0.62741,0.6513,0.66738,0.35855,1.41321,1.19376,1.86108,0.0009505,0.0009505,0.0009505
7,394.088,1.30894,1.19623,1.61102,0.71808,0.67738,0.70512,0.39694,1.33004,1.1585,1.82353,0.0009406,0.0009406,0.0009406
8,437.711,1.27562,1.15539,1.5835,0.69616,0.65337,0.69657,0.39896,1.35361,1.25256,1.87317,0.0009307,0.0009307,0.0009307
9,483.004,1.29992,1.15116,1.57014,0.69756,0.64133,0.68097,0.37767,1.38277,1.17707,1.85023,0.0009208,0.0009208,0.0009208
10,522.841,1.27315,1.13053,1.56523,0.85429,0.59205,0.74123,0.42971,1.29601,1.13503,1.74358,0.0009109,0.0009109,0.0009109
11,565.292,1.25592,1.0868,1.54508,0.6707,0.70952,0.71053,0.4043,1.33472,1.11614,1.80736,0.000901,0.000901,0.000901
12,616.85,1.24454,1.06204,1.55248,0.7292,0.75328,0.77257,0.46107,1.26849,1.01271,1.74038,0.0008911,0.0008911,0.0008911
13,647.266,1.23459,1.06825,1.53212,0.79453,0.58941,0.6668,0.40976,1.22456,1.11566,1.69835,0.0008812,0.0008812,0.0008812
14,680.521,1.23327,1.05781,1.52135,0.79834,0.60714,0.70266,0.40966,1.2948,1.07441,1.71356,0.0008713,0.0008713,0.0008713
15,712.662,1.21098,1.03629,1.52056,0.69221,0.69152,0.72666,0.40561,1.30968,1.13593,1.76913,0.0008614,0.0008614,0.0008614
16,739.469,1.22115,1.01089,1.52902,0.75919,0.59286,0.72087,0.43562,1.28036,1.09534,1.75708,0.0008515,0.0008515,0.0008515
17,765.365,1.19945,1.00744,1.49835,0.68319,0.70833,0.76876,0.44664,1.27355,0.95198,1.74645,0.0008416,0.0008416,0.0008416
18,791.679,1.19999,0.997,1.51494,0.75868,0.67261,0.7376,0.4355,1.24995,0.94513,1.70695,0.0008317,0.0008317,0.0008317
19,818.347,1.18175,0.96115,1.5059,0.72408,0.68214,0.75085,0.43949,1.23968,0.95464,1.72041,0.0008218,0.0008218,0.0008218
20,844.564,1.18054,0.99672,1.5099,0.76243,0.66667,0.73824,0.44622,1.2078,0.95329,1.66431,0.0008119,0.0008119,0.0008119
21,871.101,1.13334,0.92888,1.47108,0.7545,0.75357,0.79592,0.46957,1.22518,0.91995,1.69959,0.000802,0.000802,0.000802
22,898.372,1.20428,0.97144,1.51196,0.71139,0.68333,0.74155,0.44932,1.17911,0.94723,1.62521,0.0007921,0.0007921,0.0007921
23,924.841,1.1501,0.9551,1.49196,0.74275,0.69286,0.71671,0.43435,1.22262,0.98031,1.6549,0.0007822,0.0007822,0.0007822
24,950.755,1.13201,0.927,1.47428,0.79861,0.66667,0.76134,0.45446,1.18737,0.95037,1.65238,0.0007723,0.0007723,0.0007723
25,976.914,1.13727,0.92937,1.47521,0.75001,0.70833,0.76508,0.45054,1.25772,0.90921,1.69907,0.0007624,0.0007624,0.0007624
26,1003.07,1.15892,0.95467,1.49886,0.72253,0.71951,0.75105,0.44813,1.23261,0.98569,1.69541,0.0007525,0.0007525,0.0007525
27,1029.14,1.165,0.9282,1.45893,0.7308,0.71548,0.77092,0.46243,1.19507,0.92124,1.66138,0.0007426,0.0007426,0.0007426
28,1055.35,1.15956,0.89522,1.47345,0.74219,0.7119,0.7625,0.46215,1.25548,0.90147,1.6797,0.0007327,0.0007327,0.0007327
29,1081.41,1.12274,0.91422,1.45577,0.76369,0.71786,0.76686,0.47645,1.16882,0.86978,1.59759,0.0007228,0.0007228,0.0007228
30,1107.54,1.11292,0.87932,1.45129,0.81114,0.65603,0.75214,0.48414,1.15963,0.87094,1.64603,0.0007129,0.0007129,0.0007129
31,1133.28,1.11327,0.88677,1.44586,0.7354,0.7,0.74553,0.47235,1.23018,0.93423,1.67681,0.000703,0.000703,0.000703
32,1158.86,1.08746,0.87143,1.44255,0.78245,0.65964,0.75126,0.47292,1.18872,0.91533,1.65392,0.0006931,0.0006931,0.0006931
33,1184.57,1.12496,0.89398,1.45168,0.84155,0.6881,0.78315,0.49027,1.2327,0.88797,1.68204,0.0006832,0.0006832,0.0006832
34,1210.34,1.09849,0.8471,1.44523,0.81025,0.72456,0.76173,0.47374,1.19401,0.86258,1.62769,0.0006733,0.0006733,0.0006733
35,1235.97,1.11283,0.83286,1.45971,0.72438,0.75668,0.78864,0.45117,1.233,0.90554,1.67407,0.0006634,0.0006634,0.0006634
